Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Valerie Taylor,34,Male,HR,Sales Executive,7077,2,0,No,2,3,8,2,7,Travel_Rarely,6,44,46
Travis Harris,22,Other,R&D,Analyst,14962,29,2,Yes,1,1,3,4,2,Travel_Frequently,4,42,43
Vincent Novak,46,Other,R&D,Developer,15069,24,1,Yes,4,1,9,4,22,Travel_Rarely,0,19,15
Michael Henry,45,Male,Sales,Developer,10823,18,0,No,2,1,9,3,12,Travel_Frequently,6,46,43
Dana Bennett,43,Male,R&D,Analyst,4949,28,0,Yes,3,4,6,3,29,Travel_Rarely,4,23,21
Jenna Wilson,23,Other,Sales,Manager,12760,10,11,Yes,4,1,2,2,20,Travel_Frequently,6,17,22
Leslie Gardner,51,Female,HR,Analyst,9986,1,12,No,4,2,8,3,26,Travel_Frequently,5,16,15
Krista Benton,29,Female,R&D,Analyst,4695,30,13,Yes,2,3,3,2,13,Non-Travel,2,46,49
Michael Gonzales,54,Male,HR,Analyst,18841,23,9,Yes,2,2,8,5,30,Travel_Frequently,4,36,35
Michael Fuentes,46,Other,HR,Developer,18876,18,0,Yes,1,1,4,5,28,Non-Travel,2,19,14
Jennifer Porter,39,Male,R&D,Analyst,3251,17,8,Yes,3,1,8,4,19,Travel_Rarely,6,41,42
Dana Hopkins,36,Other,R&D,Sales Executive,8714,22,0,Yes,4,1,4,4,11,Non-Travel,0,38,34
Rachel Jones,35,Other,R&D,Sales Executive,8619,3,9,Yes,3,2,0,1,9,Non-Travel,0,22,18
Karen Morales DDS,40,Female,Sales,Manager,19135,26,9,Yes,1,1,0,5,14,Non-Travel,4,43,46
Melissa Stephens,29,Other,R&D,Developer,16045,11,8,Yes,1,1,3,4,16,Travel_Frequently,2,36,31
Heather Woodard,54,Male,Sales,Sales Executive,14823,1,8,Yes,1,3,7,3,20,Non-Travel,5,45,46
Margaret Miller,58,Male,Sales,Analyst,10013,13,12,No,4,4,4,3,4,Non-Travel,0,44,47
Mary Kelly,57,Male,R&D,Analyst,10270,17,2,Yes,4,4,8,5,8,Travel_Rarely,5,42,38
Amanda Terrell,59,Other,Sales,Analyst,6946,11,2,No,1,2,8,1,9,Non-Travel,0,15,18
Jennifer Goodwin,58,Other,Sales,Developer,4710,7,7,Yes,3,2,9,2,22,Non-Travel,6,31,28
Jessica Smith,39,Male,Sales,Sales Executive,15367,18,10,Yes,4,4,2,1,10,Non-Travel,0,40,36
Jorge Stone,46,Male,R&D,Developer,8816,21,11,No,1,2,6,3,6,Travel_Frequently,1,42,37
Laura Griffin,59,Female,HR,Analyst,18907,29,6,Yes,3,2,3,2,29,Travel_Rarely,4,31,35
Raymond Chapman,54,Female,HR,Developer,9152,13,1,No,2,2,1,1,15,Non-Travel,5,15,11
Haley Johnson,33,Female,HR,Manager,5522,18,13,No,1,3,9,2,26,Non-Travel,2,44,46
Jason Nixon,58,Female,Sales,Sales Executive,9782,22,4,No,2,2,7,5,15,Travel_Rarely,4,49,51
Todd Thomas,43,Other,HR,Sales Executive,5792,28,14,No,2,3,4,4,15,Travel_Rarely,1,17,20
Jesse Clark,22,Other,HR,Developer,11849,27,9,Yes,3,4,7,2,5,Travel_Frequently,5,34,31
Mr. Jeffrey Horton,36,Female,R&D,Analyst,10834,16,0,Yes,1,3,0,4,12,Travel_Rarely,5,20,18
Eric Patrick,47,Male,Sales,Manager,11034,8,1,Yes,1,2,1,4,12,Travel_Frequently,4,21,18
Samuel Wong,47,Female,Sales,Manager,12174,17,2,Yes,4,2,9,1,30,Travel_Frequently,6,35,33
Carly Riggs,47,Other,HR,Sales Executive,16080,5,4,No,3,1,8,4,18,Non-Travel,3,40,44
Christopher Moore,41,Male,HR,Analyst,11544,19,5,Yes,3,4,2,1,6,Travel_Frequently,1,38,40
Tina Hall,27,Female,R&D,Manager,11662,22,0,Yes,4,4,6,4,27,Non-Travel,1,46,43
Cody Davidson,44,Male,R&D,Developer,8372,11,5,Yes,4,3,5,4,12,Travel_Frequently,2,47,45
Allen Mendez,48,Male,R&D,Developer,15535,24,6,Yes,2,1,5,2,24,Non-Travel,6,33,34
Kevin Price,42,Male,R&D,Manager,7550,18,6,No,2,1,6,3,19,Travel_Rarely,6,21,25
Christine Goodwin,46,Female,HR,Analyst,5271,9,11,Yes,2,2,8,3,18,Non-Travel,4,34,35
Amy Garcia,59,Female,HR,Sales Executive,6143,19,5,No,1,4,7,3,11,Travel_Frequently,5,26,22
Chelsea Nguyen,44,Male,HR,Manager,15475,18,1,Yes,2,3,9,3,20,Travel_Frequently,5,19,14
Dennis Huffman,30,Female,R&D,Developer,3141,15,12,No,3,2,6,2,8,Non-Travel,0,24,20
Margaret Harper,54,Female,R&D,Sales Executive,12137,5,0,No,4,1,7,1,14,Travel_Frequently,4,40,37
Laurie Bailey,28,Other,HR,Sales Executive,5476,28,9,No,3,4,4,1,24,Travel_Rarely,1,46,41
Lisa Cervantes,27,Female,R&D,Manager,7427,25,6,Yes,3,3,3,1,27,Travel_Frequently,1,31,35
Elizabeth Mendez,41,Other,R&D,Manager,18958,8,2,No,2,1,4,2,6,Non-Travel,5,28,23
Cesar Wilson,52,Male,Sales,Manager,13397,11,5,Yes,2,4,1,1,4,Travel_Rarely,2,16,12
Clayton Steele,22,Female,HR,Developer,8955,4,5,Yes,3,3,6,4,11,Non-Travel,3,36,32
Jennifer Taylor,38,Female,Sales,Manager,9453,2,12,No,4,3,2,2,5,Travel_Rarely,4,49,47
Cody Reid,37,Male,Sales,Sales Executive,15575,3,4,No,1,2,6,5,25,Travel_Rarely,6,30,26
Maria Cooke,47,Female,Sales,Developer,6009,28,12,Yes,4,2,0,4,4,Travel_Rarely,6,41,41
Katherine Taylor,30,Other,R&D,Manager,5092,13,11,No,4,3,6,1,17,Non-Travel,1,34,31
Jerry Brown,28,Male,Sales,Manager,13703,2,0,No,4,1,3,5,6,Travel_Frequently,6,44,40
Adam Taylor,33,Male,R&D,Analyst,11414,15,9,No,2,2,1,5,10,Travel_Rarely,1,32,32
Tracey Wagner,36,Female,HR,Sales Executive,6259,22,3,Yes,4,1,0,2,26,Non-Travel,2,41,40
Michael Perry PhD,57,Female,Sales,Developer,16288,19,3,Yes,1,2,3,5,22,Travel_Frequently,2,21,21
Bradley Johnson DDS,44,Other,Sales,Analyst,14890,29,5,No,3,4,4,5,21,Travel_Rarely,4,47,52
Donald Medina,50,Male,HR,Manager,10216,7,0,No,3,2,9,5,25,Non-Travel,0,27,23
Jim Newton,48,Other,R&D,Sales Executive,14195,2,5,Yes,3,4,2,2,12,Travel_Rarely,1,35,38
Krista Wilson,28,Male,HR,Sales Executive,7092,16,2,No,4,2,3,2,24,Travel_Rarely,4,27,22
Reginald Morrow,38,Female,Sales,Developer,7002,11,5,Yes,3,1,1,3,24,Travel_Frequently,2,21,18
Rodney Williams,31,Female,R&D,Developer,6941,12,11,Yes,4,1,2,1,30,Travel_Frequently,5,42,46
Kimberly Fritz,52,Other,HR,Developer,15335,22,12,Yes,4,1,9,1,22,Travel_Rarely,2,17,22
Ronald Potter,32,Other,Sales,Sales Executive,6642,28,8,No,4,3,9,3,14,Travel_Rarely,6,46,47
Zachary Cole,36,Female,R&D,Manager,3286,27,9,Yes,4,4,4,4,18,Travel_Rarely,3,20,22
Robert Gonzales,59,Female,Sales,Developer,17013,30,11,Yes,1,1,4,5,6,Travel_Frequently,2,45,44
Patricia Young PhD,55,Male,HR,Analyst,12708,3,10,Yes,1,1,1,4,19,Non-Travel,0,15,16
Heather Page,49,Female,Sales,Analyst,8778,3,5,Yes,1,1,9,4,23,Travel_Frequently,4,41,38
Carol Taylor,35,Female,Sales,Analyst,6815,9,5,No,4,2,5,5,16,Non-Travel,4,37,39
Daniel Brown,53,Male,HR,Analyst,6083,6,4,Yes,2,2,9,5,15,Non-Travel,3,34,37
Douglas Ryan,55,Male,HR,Developer,6690,5,6,Yes,4,1,7,2,29,Travel_Rarely,3,42,42
Michael Roberts,49,Other,HR,Developer,18253,24,14,No,1,4,2,4,24,Travel_Frequently,4,21,19
Scott Duke,29,Female,HR,Analyst,11435,28,1,Yes,4,2,6,3,18,Non-Travel,6,39,43
Anna Estes,35,Other,R&D,Developer,8524,12,1,Yes,4,2,4,2,17,Travel_Rarely,0,40,39
Tamara Riddle,31,Other,Sales,Developer,16318,23,14,No,1,2,3,2,28,Non-Travel,3,28,27
Beth Cline,46,Female,HR,Manager,14765,16,8,Yes,3,1,0,5,10,Travel_Rarely,6,29,32
Michael Poole,23,Female,R&D,Manager,11863,16,3,No,3,3,9,2,20,Travel_Frequently,0,45,40
Megan Burns,53,Other,R&D,Sales Executive,8900,30,11,Yes,3,4,1,5,29,Non-Travel,4,35,35
Debra Perry,22,Female,HR,Manager,14429,5,1,Yes,4,2,7,4,12,Travel_Frequently,5,36,35
Mark Beard,31,Female,Sales,Sales Executive,10965,17,9,Yes,3,2,2,4,1,Non-Travel,4,30,26
Jose Ramirez,25,Male,HR,Developer,6511,21,10,No,1,2,0,5,14,Travel_Frequently,3,38,42
Jackie Clements,53,Other,R&D,Sales Executive,16124,30,3,No,3,3,5,4,17,Travel_Frequently,6,25,21
Aaron Schroeder,53,Male,Sales,Developer,7566,7,5,No,2,4,2,1,14,Travel_Rarely,2,46,45
Monica Ellis,51,Male,R&D,Developer,18152,27,9,No,1,3,9,4,20,Travel_Frequently,5,31,35
Heather Brown,50,Female,Sales,Manager,8688,15,2,No,2,3,0,4,29,Travel_Frequently,1,31,31
Claudia Jordan,50,Other,R&D,Analyst,7340,10,1,No,3,4,0,4,18,Non-Travel,0,32,33
Derrick Clayton,41,Other,HR,Manager,16004,19,2,No,4,3,0,1,24,Travel_Frequently,0,21,16
Kenneth Knight,26,Female,R&D,Manager,19062,23,13,Yes,4,2,6,3,26,Non-Travel,1,19,15
Mr. Michael Williams,28,Other,R&D,Sales Executive,7659,17,2,Yes,4,2,3,4,27,Non-Travel,0,47,42
Richard Stevens,42,Other,HR,Developer,15329,20,14,Yes,4,3,3,2,10,Non-Travel,5,18,19
Scott Alexander,50,Other,R&D,Manager,8132,0,14,No,2,2,7,3,26,Travel_Frequently,5,31,29
Tyler Harris,47,Other,R&D,Sales Executive,13274,18,13,Yes,4,3,9,5,17,Travel_Rarely,1,49,46
Bonnie Santos,39,Male,R&D,Manager,7802,12,14,Yes,2,2,8,2,18,Travel_Frequently,4,44,41
Timothy Hill,22,Female,R&D,Sales Executive,3971,18,11,Yes,1,3,3,4,2,Travel_Frequently,1,24,20
Danielle Watson,34,Other,Sales,Analyst,8386,1,5,Yes,3,2,7,2,13,Travel_Frequently,4,16,20
Carol Sanders,54,Female,R&D,Analyst,5553,12,7,No,4,4,2,3,5,Travel_Frequently,4,28,25
Michael Young,44,Female,R&D,Developer,10707,7,7,Yes,3,4,3,5,11,Travel_Frequently,6,44,47
Michele Smith,56,Female,R&D,Sales Executive,13022,11,4,Yes,3,1,4,5,7,Travel_Rarely,5,21,26
Casey Perez,31,Male,HR,Sales Executive,3243,10,2,No,4,4,8,4,1,Travel_Frequently,2,32,29
Alexandra Dominguez,52,Male,HR,Developer,15105,2,4,No,4,4,5,2,6,Travel_Rarely,5,19,16
Virginia Henderson,53,Other,R&D,Manager,8933,5,10,Yes,2,4,1,4,10,Travel_Frequently,1,48,45
Benjamin Reyes,24,Female,Sales,Sales Executive,18453,3,14,No,1,4,5,5,13,Travel_Frequently,6,33,34
Ashley Edwards,36,Female,Sales,Developer,4766,3,2,No,2,2,8,4,9,Travel_Rarely,0,22,18
Breanna Ayala,56,Other,R&D,Sales Executive,12153,26,11,Yes,1,3,0,2,17,Non-Travel,0,43,42
Brandi Haney,27,Female,HR,Manager,19314,18,11,No,2,4,7,4,4,Travel_Frequently,0,33,35
Joseph Smith,34,Male,Sales,Analyst,12917,3,2,No,2,4,4,5,19,Travel_Frequently,5,19,23
Jessica Bowen,34,Female,Sales,Developer,16264,7,3,Yes,4,2,7,5,14,Non-Travel,3,40,38
Brittany Jenkins,45,Other,Sales,Manager,7903,1,0,Yes,4,4,8,3,19,Travel_Rarely,2,43,39
Shannon Miller,57,Male,HR,Sales Executive,13914,5,0,No,2,3,8,5,11,Non-Travel,2,45,44
Paul Lawrence,55,Male,R&D,Analyst,14268,12,7,No,3,1,5,3,24,Travel_Rarely,6,27,31
Victor Edwards,52,Other,Sales,Manager,9700,6,7,No,1,4,1,5,14,Travel_Frequently,5,26,28
Donald Miller,52,Male,R&D,Sales Executive,5821,4,2,No,1,3,7,4,4,Non-Travel,3,35,31
Lindsay Lawson,30,Female,R&D,Sales Executive,7284,14,14,Yes,1,3,2,4,27,Travel_Rarely,4,16,14
Melissa Abbott,36,Male,Sales,Manager,10447,7,2,No,4,1,2,2,28,Travel_Frequently,4,35,40
Elizabeth Holmes,39,Female,Sales,Analyst,6612,21,9,Yes,3,3,5,5,19,Travel_Rarely,4,29,30
Nicole Phillips,27,Male,Sales,Sales Executive,16715,23,1,No,4,4,9,5,3,Travel_Rarely,3,18,22
Steven Blevins,59,Male,R&D,Developer,4283,20,12,No,3,4,7,1,13,Non-Travel,4,24,28
Brian Porter MD,34,Male,HR,Analyst,10072,4,9,No,4,2,0,4,8,Non-Travel,0,26,24
Vanessa Hatfield,26,Other,R&D,Developer,17500,11,11,No,4,3,5,1,6,Travel_Frequently,0,18,21
Bonnie Valencia,57,Other,Sales,Analyst,15285,18,2,Yes,1,4,2,4,11,Non-Travel,5,42,47
Holly Vega,47,Other,R&D,Manager,14151,4,12,Yes,4,3,3,4,11,Travel_Frequently,0,30,32
Tiffany Townsend,59,Other,R&D,Sales Executive,15774,28,3,No,3,1,5,3,23,Non-Travel,1,26,29
Austin Baker,23,Female,HR,Manager,11341,6,9,Yes,3,4,0,4,14,Travel_Frequently,1,29,31
Antonio Mccormick,49,Female,Sales,Sales Executive,16291,23,5,No,4,1,8,2,28,Travel_Rarely,1,49,53
Lori Mason,57,Other,Sales,Analyst,16916,25,14,No,3,2,4,4,8,Non-Travel,6,30,29
Michael Miller,57,Other,R&D,Manager,8466,1,6,Yes,2,2,1,5,8,Travel_Rarely,0,36,31
Lisa Ramirez,35,Other,R&D,Sales Executive,5126,22,9,No,4,2,5,5,27,Non-Travel,4,19,24
Jorge Harris,22,Female,Sales,Sales Executive,5926,7,10,Yes,3,2,6,1,30,Travel_Frequently,2,44,45
Kimberly Myers,37,Male,R&D,Developer,19194,8,13,Yes,1,2,8,2,14,Non-Travel,1,33,38
Sandra Becker,27,Female,R&D,Manager,4431,7,5,Yes,1,2,5,2,4,Non-Travel,2,39,38
Michael Blair,40,Other,R&D,Sales Executive,9896,5,0,No,3,1,7,1,16,Non-Travel,0,38,41
Amy Miller,29,Female,R&D,Analyst,18006,15,8,No,1,2,8,3,23,Non-Travel,0,43,42
Jesse Lynch,37,Male,Sales,Developer,12652,16,0,Yes,4,2,2,3,14,Travel_Frequently,0,16,15
Patrick Yang,40,Other,HR,Developer,8034,9,10,No,1,2,1,1,29,Non-Travel,0,27,25
Michael Miles,42,Other,HR,Analyst,15772,21,7,No,1,1,6,2,18,Travel_Rarely,2,18,21
Troy Mills,57,Male,HR,Sales Executive,16507,8,2,Yes,2,2,8,4,21,Non-Travel,4,48,48
Michelle Jackson,22,Male,Sales,Manager,7744,9,4,Yes,4,2,7,1,28,Non-Travel,3,16,21
Richard Adams,35,Female,R&D,Developer,10805,18,6,No,4,1,1,1,8,Non-Travel,0,29,26
Patricia Johnson,29,Other,Sales,Sales Executive,6828,6,11,No,1,2,0,1,23,Travel_Frequently,1,18,18
Denise Brown,40,Other,Sales,Analyst,4055,18,11,No,4,1,0,4,14,Travel_Rarely,0,29,26
Laura Jones,28,Other,Sales,Sales Executive,7855,24,12,Yes,4,4,1,4,30,Travel_Rarely,6,16,21
Ian Porter,35,Male,HR,Manager,5119,20,1,Yes,1,1,8,5,2,Non-Travel,6,23,25
Holly Scott,24,Female,HR,Developer,8262,8,0,No,2,3,7,1,3,Non-Travel,0,46,44
Kenneth Sharp,42,Female,Sales,Manager,13642,8,1,No,3,3,6,3,19,Travel_Rarely,0,31,32
Jordan Williams,34,Female,HR,Manager,13736,16,10,No,1,2,1,3,20,Travel_Rarely,5,46,48
Dana Ruiz,23,Male,HR,Analyst,18996,10,5,No,2,1,9,5,29,Travel_Rarely,2,19,21
Chris Velazquez,48,Male,Sales,Analyst,4583,17,7,Yes,1,4,9,3,25,Travel_Rarely,4,28,23
Kristen Sloan,53,Female,Sales,Manager,9690,19,1,Yes,1,2,1,3,11,Travel_Rarely,0,24,19
Jennifer Morris,36,Female,R&D,Developer,8658,15,5,No,1,3,4,1,20,Travel_Frequently,2,15,17
Nathan Nelson,34,Male,R&D,Manager,15777,25,12,No,1,1,5,5,13,Travel_Rarely,5,47,50
Jake Shaw,49,Female,Sales,Developer,14907,15,14,Yes,3,4,1,3,22,Travel_Frequently,4,28,28
Cassie Brock,53,Male,Sales,Sales Executive,18183,23,8,No,1,4,1,3,21,Non-Travel,1,44,42
Dr. Andrea Marshall,34,Other,HR,Manager,9192,26,3,Yes,2,4,4,2,10,Travel_Rarely,1,20,25
Ryan Murphy,29,Other,R&D,Analyst,17658,5,11,Yes,2,2,9,5,27,Non-Travel,0,34,30
Aimee Gonzalez,34,Female,R&D,Sales Executive,8764,4,5,No,3,1,1,5,19,Non-Travel,6,39,44
Elizabeth Dean,27,Other,R&D,Developer,9357,14,8,Yes,1,4,0,1,25,Travel_Rarely,5,25,29
Kevin Snyder,53,Male,HR,Developer,13739,30,3,Yes,1,3,4,3,20,Travel_Frequently,2,24,26
Christie Mccullough,46,Male,HR,Analyst,17823,8,4,Yes,4,2,4,4,9,Travel_Frequently,0,20,23
Danielle Smith,55,Female,HR,Developer,15303,23,1,Yes,1,4,4,1,5,Travel_Rarely,4,18,21
David Reed,33,Female,Sales,Sales Executive,10073,24,3,No,3,1,4,1,8,Travel_Rarely,0,25,27
Sherry Tapia,35,Female,Sales,Sales Executive,17287,13,10,Yes,4,1,1,1,29,Travel_Frequently,3,34,33
Matthew Sweeney,27,Other,R&D,Analyst,13201,7,9,No,2,4,6,3,6,Travel_Frequently,2,42,38
Ashley Moreno,45,Female,HR,Manager,12565,2,6,No,1,3,1,1,4,Non-Travel,4,17,12
Johnathan Brown,24,Male,Sales,Sales Executive,13781,14,11,Yes,4,4,9,3,25,Non-Travel,2,20,24
Michelle Davis DVM,54,Other,Sales,Analyst,12444,25,4,Yes,2,2,4,1,9,Travel_Frequently,3,39,40
Kelly Haynes,48,Other,Sales,Sales Executive,3202,24,0,Yes,1,1,6,5,23,Travel_Rarely,0,36,37
William Miller,30,Female,HR,Analyst,17289,25,13,Yes,2,1,6,5,18,Travel_Frequently,4,19,24
Casey Wilkins,56,Other,R&D,Manager,11760,8,6,No,2,4,4,5,22,Travel_Rarely,2,35,32
Keith Graham,58,Other,HR,Manager,15370,23,5,Yes,1,3,0,5,14,Travel_Rarely,0,24,23
Cynthia Green,27,Male,Sales,Analyst,5386,17,14,Yes,2,1,3,3,21,Non-Travel,4,30,26
Robert Haynes,55,Male,HR,Analyst,11357,11,13,Yes,4,1,0,2,21,Travel_Rarely,6,48,44
Emily Nelson,24,Female,R&D,Sales Executive,13285,12,5,Yes,1,3,1,3,11,Travel_Frequently,6,27,23
Dale Chan,33,Other,Sales,Analyst,8107,8,5,Yes,3,4,9,1,2,Travel_Frequently,4,28,26
Brittney Martin,44,Female,R&D,Sales Executive,19229,27,5,Yes,1,4,3,3,29,Travel_Rarely,1,23,27
Jason Herrera,23,Male,HR,Developer,12211,14,9,No,3,1,2,2,24,Travel_Rarely,0,37,40
Christine Parker,36,Male,HR,Developer,8053,1,14,No,4,1,5,2,10,Travel_Rarely,0,21,25
Bryan Moore,34,Other,HR,Sales Executive,14686,12,2,No,1,4,7,3,20,Non-Travel,4,25,30
Samantha Terry,27,Male,Sales,Manager,18821,22,9,No,2,3,0,2,19,Travel_Frequently,5,37,37
Russell Murphy,32,Other,HR,Sales Executive,7052,23,13,No,2,2,5,2,13,Travel_Frequently,1,33,29
David Kelly,49,Female,HR,Analyst,8639,27,13,Yes,4,2,1,5,18,Travel_Frequently,3,37,33
Megan Green,33,Male,HR,Sales Executive,10453,22,9,No,2,3,9,5,5,Travel_Rarely,2,45,46
Amanda Sullivan MD,37,Female,Sales,Manager,15823,10,10,Yes,1,2,3,4,26,Travel_Frequently,6,44,45
Danielle Murray,43,Male,Sales,Sales Executive,3064,10,6,No,1,1,9,5,16,Travel_Frequently,4,20,17
Brenda Smith,42,Other,Sales,Manager,7260,17,14,No,2,2,3,3,20,Travel_Frequently,1,17,12
Vickie Anderson,42,Other,Sales,Developer,11665,2,2,No,4,4,7,4,1,Travel_Rarely,1,47,44
Jacqueline Mccoy,44,Other,R&D,Analyst,11505,13,0,No,3,4,1,4,15,Travel_Frequently,3,23,27
Lauren Green,55,Female,R&D,Analyst,11737,14,0,No,2,3,6,3,28,Travel_Frequently,6,24,20
Alison Brown,48,Male,HR,Manager,12819,12,2,Yes,3,1,2,4,18,Travel_Rarely,2,49,48
Jill Anderson,37,Female,R&D,Manager,6199,12,8,Yes,2,4,8,4,26,Travel_Frequently,6,19,18
Sandra Rivera,22,Male,R&D,Developer,11873,19,6,No,4,3,8,3,28,Travel_Frequently,1,21,18
Joel Jackson,33,Male,R&D,Developer,13303,20,6,Yes,1,1,4,2,9,Travel_Rarely,5,42,40
Samantha Foster,35,Male,HR,Sales Executive,14761,8,1,No,3,4,1,5,14,Travel_Rarely,3,30,29
Michael Thompson,33,Female,R&D,Sales Executive,12802,19,8,No,2,1,3,5,3,Travel_Rarely,1,37,42
Cody Ramirez,41,Other,R&D,Analyst,15670,16,5,Yes,1,3,7,4,20,Non-Travel,5,27,28
Amanda Harvey,30,Female,R&D,Analyst,5537,17,11,No,2,1,2,5,14,Travel_Rarely,2,25,29
Edward Jenkins,37,Male,HR,Manager,11128,0,10,Yes,1,3,7,4,10,Non-Travel,6,25,20
Amy Ramirez,52,Female,HR,Sales Executive,17130,12,5,Yes,4,1,3,2,16,Travel_Frequently,2,46,51
Curtis Wilkerson,41,Female,HR,Sales Executive,18175,30,7,No,1,1,1,1,26,Travel_Rarely,0,46,45
Lydia Pham,56,Female,R&D,Developer,15955,14,9,No,2,1,0,3,3,Travel_Rarely,2,30,30
Virginia Casey,51,Male,HR,Developer,17826,18,2,Yes,1,4,8,2,28,Non-Travel,1,18,21
Joshua Washington,31,Male,HR,Analyst,7858,7,8,No,4,1,4,4,17,Travel_Rarely,6,33,29
Kathryn Price,48,Other,R&D,Manager,7298,20,10,No,4,1,6,1,20,Travel_Rarely,6,47,51
Francis Robinson,27,Male,HR,Analyst,19759,6,9,Yes,2,4,1,4,20,Travel_Rarely,1,22,24
Paula Brown,34,Other,HR,Sales Executive,18115,29,12,No,1,4,0,3,30,Travel_Rarely,5,27,30
Kendra Wang DVM,35,Other,Sales,Analyst,16170,17,9,No,1,2,5,5,20,Travel_Rarely,6,17,20
Ariel Sandoval,22,Other,Sales,Analyst,7244,28,9,Yes,3,4,7,4,18,Travel_Rarely,1,19,14
Robert Stark,56,Female,R&D,Manager,14405,10,14,No,3,1,7,1,17,Travel_Rarely,4,26,29
Zachary Robinson,38,Male,R&D,Manager,19183,17,14,Yes,1,4,6,4,27,Non-Travel,6,21,20
Rebecca Kelly,30,Other,Sales,Sales Executive,12822,30,4,Yes,4,3,2,4,18,Non-Travel,4,23,26
Sarah Thompson,24,Female,R&D,Sales Executive,14715,23,9,No,1,2,5,1,10,Travel_Rarely,0,47,48
Renee Wolfe,30,Other,Sales,Analyst,3559,21,2,Yes,3,4,8,5,1,Non-Travel,6,35,39
Alyssa Haynes,23,Female,HR,Manager,15818,12,0,Yes,2,4,5,3,13,Travel_Frequently,2,44,41
Kristy Hart,28,Female,HR,Sales Executive,18736,6,13,No,4,4,6,4,1,Non-Travel,1,41,42
William Keith,42,Other,R&D,Manager,5182,24,6,Yes,4,4,9,2,6,Travel_Frequently,6,38,35
Eric Henry Jr.,32,Female,Sales,Manager,14802,18,8,No,4,2,7,5,14,Non-Travel,0,21,16
Daniel Fox,24,Male,Sales,Manager,14002,21,2,Yes,1,2,9,1,23,Non-Travel,1,25,21
Thomas Harris,47,Male,R&D,Manager,7186,27,10,Yes,2,1,7,5,14,Travel_Rarely,4,42,41
Mitchell Sellers,32,Male,HR,Sales Executive,8090,23,13,Yes,1,1,3,5,11,Travel_Frequently,3,30,30
Erica Johnson,55,Male,HR,Sales Executive,3293,26,7,Yes,2,4,6,1,5,Non-Travel,0,26,22
Sylvia Schroeder,51,Other,Sales,Developer,7492,0,6,No,3,4,3,2,9,Travel_Frequently,0,20,16
Shannon Yu,59,Other,R&D,Developer,13815,29,5,Yes,1,3,5,4,24,Travel_Frequently,4,32,36
Tom Foster,47,Male,Sales,Manager,11549,25,1,No,3,4,6,4,12,Travel_Frequently,3,15,13
Eric Taylor,31,Other,Sales,Manager,9972,17,0,Yes,1,2,3,1,2,Travel_Rarely,1,24,27
Travis Conner,28,Other,Sales,Developer,3524,2,14,Yes,1,2,8,5,21,Non-Travel,3,20,24
Marie Thompson,33,Female,Sales,Manager,13691,30,11,Yes,4,1,8,2,4,Travel_Frequently,1,34,39
Melissa Mcfarland,22,Male,R&D,Developer,4240,26,5,Yes,1,2,9,2,30,Travel_Rarely,4,24,27
Courtney Chapman,59,Other,R&D,Developer,6273,13,14,Yes,2,1,1,1,26,Non-Travel,0,41,39
Eric Barker,48,Male,Sales,Developer,9627,0,11,Yes,4,3,8,3,18,Travel_Frequently,2,36,35
Nicholas Rush,36,Female,Sales,Developer,15193,3,2,No,3,4,0,4,9,Travel_Rarely,6,20,22
Jenna Gamble,51,Male,R&D,Sales Executive,12284,15,7,Yes,1,1,1,1,17,Travel_Rarely,0,34,29
Amanda Guzman,44,Female,Sales,Manager,5097,9,8,No,1,3,7,2,12,Travel_Rarely,6,20,22
Tracy Walker,52,Other,HR,Analyst,15491,20,6,Yes,3,4,0,1,1,Travel_Rarely,4,32,29
Taylor Taylor,29,Other,HR,Developer,12203,2,2,No,1,3,5,1,22,Travel_Frequently,0,41,46
Cynthia Haas,31,Other,R&D,Sales Executive,19991,17,14,No,2,3,8,1,4,Non-Travel,3,35,35
Stephen Davis,44,Female,HR,Developer,10228,17,10,Yes,3,3,5,4,27,Travel_Rarely,6,49,52
Margaret Tanner,55,Other,Sales,Manager,14690,25,6,No,2,3,3,4,14,Non-Travel,3,49,44
Derek Wright,28,Male,Sales,Manager,13740,20,12,Yes,4,1,7,1,4,Non-Travel,2,49,48
David Rodriguez,46,Female,Sales,Sales Executive,8463,6,4,No,4,1,1,5,13,Travel_Rarely,0,32,31
James Oconnor,57,Other,Sales,Developer,16365,29,10,No,2,1,3,5,14,Travel_Rarely,3,31,36
Stacey Snyder,47,Female,Sales,Developer,8197,6,9,Yes,4,4,7,1,22,Travel_Rarely,4,30,32
Joshua Garcia,23,Male,R&D,Developer,7033,17,2,Yes,3,1,7,2,19,Travel_Frequently,3,37,41
Sean Curtis,23,Male,Sales,Analyst,13401,22,12,No,4,1,9,3,11,Non-Travel,6,40,38
Carla Jones,25,Male,HR,Analyst,13712,14,8,No,2,2,2,4,20,Travel_Rarely,6,24,23
Elizabeth Flores,36,Male,HR,Manager,13002,1,11,Yes,1,1,9,3,27,Travel_Rarely,0,27,31
Angela Jackson,29,Other,R&D,Analyst,17991,22,3,No,3,1,9,5,29,Travel_Frequently,3,38,43
